+++++++2025-05-20 13:14:30,303 - uvicorn.error - INFO - Started server process [108743]
2025-05-20 13:26:03,813 - urllib3.connectionpool - DEBUG - https://logfire-eu.pydantic.dev:443 "POST /v1/metrics HTTP/1.1" 200 2
2025-05-20 13:26:35,786 - uvicorn.access - INFO - 127.0.0.1:35312 - "GET /api/v1/users/3 HTTP/1.1" 200
2025-05-20 13:26:36,297 - urllib3.connectionpool - DEBUG - https://logfire-eu.pydantic.dev:443 "POST /v1/traces HTTP/1.1" 200 0
2025-05-20 13:26:53,421 - uvicorn.access - INFO - 127.0.0.1:53842 - "GET /api/v1/users/2 HTTP/1.1" 404
2025-05-20 13:26:53,790 - urllib3.connectionpool - DEBUG - https://logfire-eu.pydantic.dev:443 "POST /v1/traces HTTP/1.1" 200 0
2025-05-20 13:26:58,733 - uvicorn.access - INFO - 127.0.0.1:53844 - "GET /api/v1/users/3 HTTP/1.1" 200
2025-05-20 13:26:59,255 - urllib3.connectionpool - DEBUG - https://logfire-eu.pydantic.dev:443 "POST /v1/traces HTTP/1.1" 200 0
2025-05-20 13:27:03,877 - urllib3.connectionpool - DEBUG - https://logfire-eu.pydantic.dev:443 "POST /v1/metrics HTTP/1.1" 200 2
2025-05-20 13:28:03,999 - urllib3.connectionpool - DEBUG - https://logfire-eu.pydantic.dev:443 "POST /v1/metrics HTTP/1.1" 200 2
2025-05-20 13:28:42,656 - uvicorn.error - INFO - Shutting down
2025-05-20 13:28:42,758 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:28:42,762 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:28:42,764 - uvicorn.error - INFO - Finished server process [110772]
2025-05-20 13:28:43,607 - uvicorn.error - INFO - Started server process [119986]
2025-05-20 13:28:43,608 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:28:43,629 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:29:27,822 - uvicorn.access - INFO - 127.0.0.1:51144 - "GET /api/v1/users/3 HTTP/1.1" 200
2025-05-20 13:31:33,602 - uvicorn.error - INFO - Shutting down
2025-05-20 13:31:33,703 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:31:33,704 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:31:33,705 - uvicorn.error - INFO - Finished server process [119986]
2025-05-20 13:31:38,779 - uvicorn.error - INFO - Started server process [122244]
2025-05-20 13:31:38,779 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:31:38,794 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:31:43,510 - uvicorn.error - INFO - Shutting down
2025-05-20 13:31:43,612 - uvicorn.error - INFO - Waiting for application shutdown.
2025-05-20 13:31:43,614 - uvicorn.error - INFO - Application shutdown complete.
2025-05-20 13:31:43,616 - uvicorn.error - INFO - Finished server process [122244]
2025-05-20 13:31:45,344 - uvicorn.error - INFO - Started server process [122375]
2025-05-20 13:31:45,345 - uvicorn.error - INFO - Waiting for application startup.
2025-05-20 13:31:45,360 - uvicorn.error - INFO - Application startup complete.
2025-05-20 13:31:48,924 - uvicorn.access - INFO - 127.0.0.1:46368 - "GET /api/v1/users/3 HTTP/1.1" 200
2025-05-20 13:31:49,933 - uvicorn.access - INFO - 127.0.0.1:46368 - "GET /api/v1/users/3 HTTP/1.1" 200
2025-05-20 13:32:04,599 - uvicorn.access - INFO - 127.0.0.1:56260 - "GET /api/v1/users?skip=0&limit=100 HTTP/1.1" 200
2025-05-20 13:32:54,978 - uvicorn.error - INFO - Shutting down
2025-05-20 13:32:55,079 - uvicorn.error - INFO - Waiting for application shutdown.
